Unit,Region,Arson,Campfire,Debris.Burning,Elec.Power,Equip.Use,Lightning,Misc,PWF,Railroad,Smoking,Undet,Vehicle
Amador-El Dorado,Northern,84,6,47,33,63,0,27,0,0,0,4554,10
Butte,Northern,60,1,16,5,436,3,12,1,0,3,20,4
Humboldt-Del Norte,Northern,67,6,3,23,12,7,1,0,0,0,21,1
Lassen-Modoc,Northern,0,1,1,0,0,17,8,0,0,1,6,130
Mendocino,Northern,0,0,18,56,27,0,44,0,0,0,7,125
Nevada-Yuba-Placer,Northern,77,4,42,49,365,0,932,1,0,39,164,122
San Mateo-Santa Cruz,Northern,30,2,1,7,1,1,17,0,0,1,17,1
Santa Clara,Northern,67,4,2,117,47,0,65,0,0,6,166,1119
Shasta-Trinity,Northern,38,33,110,6,28,4,16,0,0,1,13,248
Siskiyou,Northern,8,1,18,1,0,394,3939,0,6,0,4,13168
Sonoma-Lake-Napa,Northern,370,3,35,55,306,0,43,1,0,0,647,107
Tehama-Glenn,Northern,70,0,323,19,117,2,41,0,0,0,605,341
Fresno-Kings,Southern,56,0,19,12,214,1,212,0,0,0,39,86
Madera-Mariposa-Merced,Southern,10030,0,51,34,52,37,8,2,0,0,83,1683
Riverside,Southern,158,1,2,81,116,0,60,4,0,0,14717,5
San Benito-Monterey,Southern,0,0,687,158,105,0,2,0,0,0,57,59
San Bernardino,Southern,18,2,1,15,75,3,2,1,0,1,4142,15
San Diego,Southern,732,9,2,228,4,2,1,0,0,0,4679,90
San Luis Obispo,Southern,71,2,21,404,0,0,15,0,0,1,152,7
Tulare,Southern,142,1,6,2,12,0,0,0,0,1,73,1
Tuolumne-Calaveras,Southern,3,8,20,34,248,0,181,1,0,1,124,92
