year,brazil,india,united_states
1970,12.6098,7.465,54.005
1971,9.6855,7.5402,54.4042
1972,11.3819,7.6724,57.043
1973,10.2287,7.7357,59.1297
1974,10.9849,7.9689,57.5686
1975,12.1461,8.273,55.3926
1976,13.8486,8.526,58.6846
1977,11.7304,8.7168,60.4823
1978,13.4336,8.7517,60.5446
1979,14.1503,9.0545,61.3546
1980,14.9956,9.2941,58.9608
1981,13.9208,9.7974,58.3025
1982,14.4581,10.1131,55.3412
1983,14.5895,10.5929,55.2478
1984,12.6005,11.1775,57.6122
1985,13.2254,11.4036,57.769
1986,14.0516,11.995,57.3103
1987,16.1286,12.0206,57.4363
1988,14.5411,13.0525,61.8575
1989,14.7641,13.6539,62.2139
1990,16.0621,13.8737,61.3609
1991,15.6996,14.4327,60.7364
1992,16.4918,14.8642,61.375
1993,17.7264,15.2173,62.827
1994,14.5545,15.8103,63.7498
1995,15.7445,16.515,63.653
1996,16.1376,17.0884,65.7771
1997,16.4741,17.6154,67.2441
1998,22.6373,17.6897,67.4902
1999,15.9586,19.5604,68.0814
2000,12.2263,18.8519,69.6912
2001,12.7745,18.756,68.2124
2002,15.9183,19.1729,69.8179
2003,16.2455,19.7645,69.9126
2004,19.6743,20.9033,72.4427
2005,23.8644,21.1746,71.8281
2006,16.2108,22.3276,69.9409
2007,27.035,23.8201,71.2895
2008,15.3286,24.3871,66.4899
2009,12.1197,25.9464,66.0407
2010,29.0224,27.7146,67.1335
2011,29.5304,28.2885,65.7165
2012,29.8942,30.0289,63.4384
