Species,BrainMass,GliaNeuronRatio
Pan troglodytes,336.2,1.2
Gorilla gorilla,509.2,1.21
Pongo pygmaeus,342.7,0.98
Hylobates muelleri,101.8,1.22
Papio anubis,155.8,0.97
Mandrillus sphinx,159.2,1.02
Macaca maura,92.6,1.09
Erythrocebus patas,102.3,0.84
Cercopithecus kandti,71.6,1.15
Colobus angolensis,74.4,1.2
Trachypithecus francoisi,91.2,1.14
Alouatta caraya,55.8,1.12
Saimire boliviensis,24.1,0.51
Aotus trivirgatus,13.2,0.63
Saguinus oedipus,10,0.46
Leontopithecus rosalia,12.2,0.6
Pithecia pithecia,30,0.64
